Date,Open,High,Low,Close,Adj Close,Volume
2019-03-15,12.550000,13.070000,12.530000,12.900000,12.900000,1564000
2019-03-18,13.100000,13.408000,12.620000,12.920000,12.920000,1298300
2019-03-19,12.950000,13.570000,12.810000,12.930000,12.930000,1269000
2019-03-20,12.900000,13.120000,12.650000,12.660000,12.660000,718900
2019-03-21,12.680000,13.950000,12.387000,12.550000,12.550000,2663700
2019-03-22,12.550000,12.620000,11.680000,11.800000,11.800000,1461600
2019-03-25,11.600000,11.880000,10.940000,11.800000,11.800000,1270100
2019-03-26,11.900000,12.400000,11.700000,11.990000,11.990000,1202300
2019-03-27,12.000000,12.500000,11.420000,12.270000,12.270000,1007500
2019-03-28,12.200000,12.390000,11.710000,12.160000,12.160000,913100
2019-03-29,12.200000,12.950000,12.200000,12.920000,12.920000,929700
2019-04-01,13.000000,13.100000,12.410000,12.870000,12.870000,1150900
2019-04-02,12.870000,13.160000,12.630000,12.980000,12.980000,1223100
2019-04-03,13.120000,13.950000,12.800000,13.300000,13.300000,1496300
2019-04-04,13.160000,13.230000,12.640000,12.680000,12.680000,767200
2019-04-05,12.800000,12.910000,12.360000,12.650000,12.650000,1114900
2019-04-08,12.540000,12.540000,11.970000,12.380000,12.380000,1031600
2019-04-09,12.340000,12.580000,12.020000,12.340000,12.340000,772300
2019-04-10,12.350000,12.500000,11.870000,11.980000,11.980000,740100
2019-04-11,11.950000,12.530000,11.760000,12.510000,12.510000,1044300
2019-04-12,12.610000,13.150000,12.210000,12.390000,12.390000,666800
2019-04-15,12.370000,12.370000,11.850000,11.890000,11.890000,767900
2019-04-16,11.900000,12.570000,11.900000,12.440000,12.440000,790000
2019-04-17,12.570000,13.100000,12.570000,12.940000,12.940000,1548500
2019-04-18,12.910000,13.100000,12.360000,12.960000,12.960000,698700
2019-04-22,13.030000,13.190000,12.740000,12.980000,12.980000,528500
2019-04-23,13.040000,13.160000,12.770000,12.860000,12.860000,898800
2019-04-24,12.860000,13.020000,12.660000,12.930000,12.930000,433100
2019-04-25,12.910000,12.976000,12.230000,12.340000,12.340000,565000
2019-04-26,12.570000,12.590000,12.100000,12.300000,12.300000,782700
2019-04-29,13.020000,13.870000,12.810000,13.160000,13.160000,3887900
2019-04-30,13.360000,13.900000,13.060000,13.620000,13.620000,2267200
2019-05-01,13.650000,14.600000,13.620000,14.320000,14.320000,2036400
2019-05-02,14.540000,14.600000,13.660000,14.130000,14.130000,1325800
2019-05-03,14.210000,15.300000,14.200000,15.260000,15.260000,2326100
